variant,evidence_scope,case_id,complexity,max_severity,P@5,R@5,F1@5,nDCG@5,MAP,MRR
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NEG_ML_NEG_V2,simple,1,0.0,0.0,0.0,0.0,0.0,0.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NEG_LH_POS_V2,complex,5,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NEG_LH_NEG_V2,complex,3,0.0,0.0,0.0,0.0,0.0,0.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NEG_LM_POS_V2,complex,3,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NEG_LM_NEG_V2,complex,1,0.0,0.0,0.0,0.0,0.0,0.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NEG_LL_POS_V2,simple,2,0.0,0.0,0.0,0.0,0.0,0.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NEG_LL_NEG_V2,simple,1,0.0,0.0,0.0,0.0,0.0,0.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,SHORT_ELDER_01,simple,4,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,SHORT_HOMELESS_01,simple,4,0.2,0.5,0.28571428571428575,0.13770577618809332,0.3333333333333333,0.3333333333333333
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,SHORT_MENTAL_01,simple,4,0.6,1.0,0.7499999999999999,0.8145672023038535,1.0,1.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,SHORT_CHILD_01,simple,3,0.8,1.0,0.888888888888889,0.9047172294870751,0.8041666666666667,1.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,SHORT_ABUSE_01,simple,4,0.8,1.0,0.888888888888889,0.9558295932317544,0.8875,1.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,TINY_ABUSE_01,simple,4,0.4,1.0,0.5714285714285715,0.5012658353418871,0.325,0.25
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,TINY_MENTAL_01,simple,4,0.4,1.0,0.5714285714285715,1.0,1.0,1.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,TINY_HOMELESS_01,simple,4,0.0,0.0,0.0,0.0,0.0,0.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,ADV_006,moderate,3,0.0,0.0,0.0,0.0,0.0,0.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,ADV_007,moderate,3,0.0,0.0,0.0,0.0,0.0,0.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,ADV_008,moderate,3,0.0,0.0,0.0,0.0,0.0,0.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,ADV_009,moderate,3,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,ADV_010,moderate,3,0.0,0.0,0.0,0.0,0.0,0.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,ADV_011,moderate,3,0.0,0.0,0.0,0.0,0.0,0.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,ADV_012,moderate,3,0.0,0.0,0.0,0.0,0.0,0.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,ADV_013,moderate,3,0.0,0.0,0.0,0.0,0.0,0.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,ADV_014,moderate,3,0.0,0.0,0.0,0.0,0.0,0.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,ADV_015,moderate,3,0.0,0.0,0.0,0.0,0.0,0.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,ADV_016,moderate,4,0.0,0.0,0.0,0.0,0.0,0.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,ADV_017,moderate,3,0.0,0.0,0.0,0.0,0.0,0.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,ADV_018,moderate,3,0.0,0.0,0.0,0.0,0.0,0.0
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,ADV_019,moderate,3,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142
Uniform Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,ADV_020,moderate,3,0.0,0.0,0.0,0.0,0.0,0.0
